City,Insurer,Q1,Q2,Q5a,Q8_1
PUNE,Go Digit,9,,,8.0
HYDERABAD,Go Digit,10,,10.0,8.0
HYDERABAD,Bagic,9,,9.0,9.0
INDORE,HDFC Ergo,10,,,9.0
PUNE,ICICI Lombard,9,,,9.0
MUMBAI,ACKO,4,,7.0,5.0
CHENNAI,Bagic,9,,,10.0
AHMEDABAD,Go Digit,5,,,3.0
PUNE,Bagic,6,,,6.0
CHENNAI,Tata AIG,2,,4.0,3.0
DELHI,Bagic,8,,,10.0
KANPUR,Bagic,10,10.0,,
KOLKATA,ICICI Lombard,10,,,9.0
CHENNAI,New India,8,,,6.0
LUDHIANA,New India,9,,7.0,10.0
BANGALORE,ICICI Lombard,9,,,10.0
MUMBAI,HDFC Ergo,10,,,9.0
LUDHIANA,HDFC Ergo,7,,,9.0
KOLKATA,HDFC Ergo,9,,,9.0
HYDERABAD,ACKO,10,,10.0,10.0
PUNE,HDFC Ergo,9,,10.0,9.0
LUDHIANA,New India,8,,9.0,8.0
PUNE,New India,4,,5.0,3.0
HYDERABAD,Go Digit,9,,,7.0
KOLKATA,ACKO,8,,,7.0
DELHI,ACKO,9,,,10.0
KANPUR,Tata AIG,6,,7.0,5.0
PUNE,ACKO,8,8.0,10.0,
DELHI,ICICI Lombard,6,,4.0,6.0
CHENNAI,ICICI Lombard,7,,3.0,9.0
HYDERABAD,Tata AIG,9,,,7.0
CHENNAI,ACKO,10,,,9.0
KOLKATA,Bagic,9,,,10.0
PUNE,Tata AIG,10,10.0,,
BANGALORE,Bagic,9,,10.0,7.0
AHMEDABAD,Bagic,9,,,9.0
DELHI,National Insurance,10,8.0,,
HYDERABAD,Bagic,10,,,9.0
KOLKATA,HDFC Ergo,10,,,9.0
DELHI,Bagic,9,,,10.0
BANGALORE,HDFC Ergo,9,,,9.0
PUNE,Go Digit,8,8.0,9.0,
AHMEDABAD,ACKO,9,,,10.0
DELHI,National Insurance,7,,,9.0
MUMBAI,Tata AIG,9,,8.0,7.0
KOLKATA,Go Digit,8,,,6.0
DELHI,Go Digit,10,,,9.0
AHMEDABAD,ACKO,10,9.0,,
